,Python_Score,ML_Score,NLP_Score,DL_Score,Num_of_Skills,PG_Score,UG_Score,12_Score,10_Score,availability,score
164,1.0,1.0,0.6666666666666666,0.6666666666666666,0.23809523809523808,0.0,0.0,1.0,0.0,1,0.5452380952380952
37,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.1111111111111111,0.7230000000000001,0.0,1.0,1.0,1,0.5445222222222222
794,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.20634920634920634,0.0,0.0,1.0,1.0,1,0.5436507936507936
501,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6825396825396826,0.0,0.0933,1.0,0.0,1,0.5434569841269841
7,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.1746031746031746,0.0,0.6799999999999999,1.0,1.0,1,0.5433968253968253
822,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.19047619047619047,0.0,0.659,1.0,1.0,1,0.5420904761904761
245,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.15873015873015872,1.0,0.0,1.0,1.0,1,0.5412698412698412
626,1.0,0.6666666666666666,0.0,0.6666666666666666,0.15873015873015872,0.0,0.0,1.0,1.0,1,0.5412698412698412
1044,0.6666666666666666,0.6666666666666666,0.0,1.0,0.38095238095238093,0.0,0.8880000000000001,1.0,1.0,0,0.5411809523809523
519,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.0,0.0,1.0,1.0,1,0.5404761904761904
1075,1.0,1.0,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.0,0.0,1.0,0.0,1,0.5404761904761904
431,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.95,0.0,1.0,0.0,1,0.5394444444444444
1042,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.15873015873015872,0.0,0.648,1.0,1.0,1,0.5394031746031746
357,0.6666666666666666,0.6666666666666666,0.0,0.0,0.20634920634920634,0.0,0.953,1.0,1.0,1,0.5389507936507936
426,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1111111111111111,0.663,0.0,1.0,1.0,1,0.5385222222222222
1023,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3492063492063492,0.0,0.866,0.0,0.0,1,0.5373936507936508
787,1.0,1.0,0.6666666666666666,0.6666666666666666,0.36507936507936506,0.0,0.852,0.0,0.0,1,0.5367873015873016
438,0.6666666666666666,0.6666666666666666,0.0,0.0,0.25396825396825395,0.0,0.9039999999999999,1.0,1.0,1,0.536431746031746
141,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.0,0.958,1.0,0.0,1,0.5362761904761905
783,1.0,0.6666666666666666,0.0,0.0,0.14285714285714285,0.0,0.623,1.0,1.0,1,0.5361095238095238
18,0.0,0.6666666666666666,0.0,0.0,0.07936507936507936,0.82,0.8300000000000001,1.0,1.0,1,0.5356349206349206
701,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.14285714285714285,0.0,0.9470000000000001,1.0,1.0,1,0.5351761904761905
1099,0.6666666666666666,0.6666666666666666,0.0,0.0,0.19047619047619047,0.9199999999999999,0.0,1.0,1.0,1,0.5348571428571428
1038,0.6666666666666666,0.6666666666666666,0.0,0.0,0.20634920634920634,0.0,0.898,1.0,1.0,1,0.5334507936507936
1012,0.6666666666666666,0.0,0.0,0.6666666666666666,0.49206349206349204,0.0,0.75,1.0,1.0,1,0.5329365079365079
555,0.0,0.6666666666666666,0.6666666666666666,0.0,0.09523809523809523,0.0,0.943,1.0,1.0,1,0.532395238095238
925,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.2222222222222222,0.5599999999999999,0.65,0.0,1.0,1,0.5321111111111111
441,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.25396825396825395,0.842,0.0,1.0,1.0,1,0.530231746031746
572,0.0,0.6666666666666666,0.0,0.6666666666666666,0.19047619047619047,0.0,0.867,1.0,1.0,1,0.5295571428571428
570,0.6666666666666666,0.6666666666666666,0.0,0.0,0.20634920634920634,0.0,0.85,1.0,1.0,1,0.5286507936507936
1125,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8095238095238095,0.0,0.8800000000000001,1.0,0.0,1,0.5284761904761904
846,0.6666666666666666,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.893,1.0,1.0,1,0.5281888888888888
844,0.6666666666666666,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.891,1.0,1.0,1,0.5279888888888888
63,0.6666666666666666,0.6666666666666666,0.0,0.0,0.1111111111111111,0.8869999999999999,0.0,1.0,1.0,1,0.5275888888888889
986,0.6666666666666666,0.6666666666666666,0.0,0.0,0.07936507936507936,0.0,0.897,1.0,1.0,1,0.5270015873015873
49,0.3333333333333333,0.3333333333333333,0.0,0.0,0.12698412698412698,0.8220000000000001,0.7030000000000001,1.0,1.0,1,0.525515873015873
